,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,To,From
0,India,SR Tendulkar,463,452,41,18426,200,21368.0,21368,21368.0,49,96,20,2016,195,21368,21368
1,India,V Kohli,302,290,45,14181,183,15192.0,15192,15192.0,51,74,16,1325,152,15192,15192
2,India,SC Ganguly,308,297,23,11221,183,15235.0,15235,15235.0,22,71,16,1104,189,15235,15235
3,India,RG Sharma,273,265,36,11168,264,12034.0,12034,12034.0,32,58,16,1045,344,12034,12034
4,India,R Dravid,340,314,39,10768,153,15127.0,15127,15127.0,12,82,13,942,42,15127,15127
5,India,MS Dhoni,347,294,83,10599,183,12164.0,12164,12164.0,9,73,10,809,222,12164,12164
6,India,M Azharuddin,334,308,54,9378,153,12669.0,12669,12669.0,7,58,9,622,77,12669,12669
7,India,Yuvraj Singh,301,275,39,8609,150,9846.0,9846,9846.0,14,52,18,896,153,9846,9846
8,India,V Sehwag,241,235,9,7995,219,7655.0,7655,7655.0,15,37,14,1092,131,7655,7655
9,India,S Dhawan,167,164,10,6793,143,7436.0,7436,7436.0,17,39,5,842,79,7436,7436
10,India,SK Raina,226,194,35,5615,116,6005.0,6005,6005.0,5,36,14,476,120,6005,6005
11,India,A Jadeja,196,179,36,5359,119,7678.0,7678,7678.0,6,30,10,366,85,7678,7678
12,India,G Gambhir,147,143,11,5238,150,6144.0,6144,6144.0,11,34,11,561,17,6144,6144
13,India,NS Sidhu,136,127,8,4413,134,6329.0,6329,6329.0,6,33,7,335,44,6329,6329
14,India,K Srikkanth,146,145,4,4091,123,5702.0,5702,5702.0,4,27,11,405,41,5702,5702
15,India,N Kapil Dev,225,198,39,3783,175,3979.0,3979,3979.0,1,14,13,291,67,3979,3979
16,India,DB Vengsarkar,129,120,19,3508,105,5179.0,5179,5179.0,1,23,7,228,24,5179,5179
17,India,RJ Shastri,150,128,21,3108,109,5089.0,5089,5089.0,4,18,5,206,25,5089,5089
18,India,SM Gavaskar,108,102,14,3092,103,4966.0,4966,4966.0,1,27,8,234,21,4966,4966
19,India,KL Rahul,85,79,17,3043,112,3451.0,3451,3451.0,7,18,3,235,67,3451,3451
20,India,AM Rahane,90,87,3,2962,111,3767.0,3767,3767.0,3,24,6,293,33,3767,3767
21,India,SS Iyer,70,65,6,2845,128,2845.0,2845,2845.0,5,22,1,262,72,2845,2845
22,India,RA Jadeja,204,137,51,2806,87,3284.0,3284,3284.0,0,13,6,205,54,3284,3284
23,India,Shubman Gill,55,55,8,2775,208,2787.0,2787,2787.0,8,15,1,313,59,2787,2787
24,India,M Kaif,125,110,24,2753,111,3822.0,3822,3822.0,2,17,8,228,9,3822,3822
25,India,VG Kambli,104,97,21,2477,106,3443.0,3443,3443.0,2,14,4,187,20,3443,3443
26,India,VVS Laxman,86,83,7,2338,131,3282.0,3282,3282.0,6,10,3,222,4,3282,3282
27,India,RR Singh,136,113,23,2336,100,3144.0,3144,3144.0,1,9,5,135,41,3144,3144
28,India,SV Manjrekar,74,70,10,1994,105,3101.0,3101,3101.0,1,15,3,99,10,3101,3101
29,India,M Amarnath,85,75,12,1924,102,3334.0,3334,3334.0,2,13,2,123,9,3334,3334
30,India,HH Pandya,94,68,10,1904,92,1717.0,1717,1717.0,0,11,4,141,76,1717,1717
31,India,M Prabhakar,130,98,21,1858,106,3083.0,3083,3083.0,2,11,8,157,0,3083,3083
32,India,KD Karthik,94,79,21,1752,79,2392.0,2392,2392.0,0,9,6,176,15,2392,2392
33,India,AT Rayudu,55,50,14,1694,124,2143.0,2143,2143.0,3,10,3,145,30,2143,2143
34,India,IK Pathan,120,87,21,1544,83,1941.0,1941,1941.0,0,5,7,142,37,1941,1941
35,India,KM Jadhav,73,52,19,1389,120,1367.0,1367,1367.0,2,6,2,141,24,1367,1367
36,India,NR Mongia,140,96,33,1272,69,1845.0,1845,1845.0,0,2,4,95,8,1845,1845
37,India,AB Agarkar,191,113,26,1269,95,1574.0,1574,1574.0,0,3,10,103,22,1574,1574
38,India,D Mongia,57,51,7,1230,159,1721.0,1721,1721.0,1,4,4,122,8,1721,1721
39,India,Harbhajan Singh,234,126,35,1213,49,1502.0,1502,1502.0,0,0,17,90,34,1502,1502
40,India,SM Patil,45,42,1,1005,84,1223.0,1223,1223.0,0,9,4,74,12,1223,1223
41,India,RV Uthappa,46,42,6,934,86,1031.0,1031,1031.0,0,6,4,107,19,1031,1031
42,India,Ishan Kishan,27,24,2,933,210,913.0,913,913.0,1,7,1,95,33,913,913
43,India,A Kumble,269,134,47,903,26,1481.0,1481,1481.0,0,0,18,52,6,1481,1481
44,India,Yashpal Sharma,42,40,9,883,89,1401.0,1401,1401.0,0,4,0,52,10,1401,1401
45,India,J Srinath,229,121,38,883,53,1109.0,1109,1109.0,0,1,19,62,17,1109,1109
46,India,RR Pant,31,27,1,871,125,820.0,820,820.0,1,5,3,91,26,820,820
47,India,HK Badani,40,36,10,867,100,1180.0,1180,1180.0,1,4,1,68,10,1180,1180
48,India,YK Pathan,57,41,11,810,123,713.0,713,713.0,2,3,7,62,43,713,713
49,India,R Lamba,32,31,2,783,102,1166.0,1166,1166.0,1,6,2,63,9,1166,1166
50,India,AR Patel,68,47,12,783,64,856.0,856,856.0,0,3,3,45,31,856,856
51,India,SA Yadav,37,35,5,773,72,736.0,736,736.0,0,4,3,80,19,736,736
52,India,Z Khan,194,96,31,753,34,1041.0,1041,1041.0,0,0,14,65,24,1041,1041
53,India,PA Patel,38,34,3,736,95,962.0,962,962.0,0,4,2,79,7,962,962
54,India,R Ashwin,116,63,20,707,65,813.0,813,813.0,0,1,6,60,7,813,813
55,India,S Ramesh,24,24,1,646,82,1092.0,1092,1092.0,0,6,3,70,1,1092,1092
56,India,RMH Binny,72,49,10,629,57,1046.0,1046,1046.0,0,1,4,51,1,1046,1046
57,India,WV Raman,27,27,1,617,114,1109.0,1109,1109.0,1,3,6,47,5,1109,1109
58,India,SB Joshi,69,45,11,584,61,653.0,653,653.0,0,1,4,47,17,653,653
59,India,MK Pandey,29,24,7,566,104,625.0,625,625.0,1,2,2,45,5,625,625
60,India,KS More,94,65,22,563,42,808.0,808,808.0,0,0,5,43,4,808,808
61,India,B Kumar,121,55,16,552,53,747.0,747,747.0,0,1,8,46,8,747,747
62,India,PK Amre,37,30,5,513,84,799.0,799,799.0,0,2,1,28,2,799,799
63,India,SV Samson,16,14,5,510,108,512.0,512,512.0,1,3,0,34,22,512,512
64,India,AO Malhotra,20,19,4,457,65,645.0,645,645.0,0,1,0,29,1,645,645
65,India,C Sharma,65,35,16,456,101,504.0,504,504.0,1,0,3,31,4,504,504
66,India,GR Viswanath,25,23,1,439,75,830.0,830,830.0,0,2,1,33,0,830,830
67,India,AK Sharma,31,27,6,424,59,469.0,469,469.0,0,3,2,26,9,469,469
68,India,S Madan Lal,67,35,14,401,53,645.0,645,645.0,0,1,1,25,3,645,645
