,Country,Player,Span,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes
1,India,SR Tendulkar,1989-2012,463,452,41,18426,200*,44.83,21368,86.23,49,96,20,2016,195
2,India,V Kohli,2008-2025,302,290,45,14181,183,57.88,15192,93.34,51,74,16,1325,152
3,India,SC Ganguly,1992-2007,308,297,23,11221,183,40.95,15235,73.65,22,71,16,1104,189
4,India,RG Sharma,2007-2025,273,265,36,11168,264,48.76,12034,92.80,32,58,16,1045,344
5,India,R Dravid,1996-2011,340,314,39,10768,153,39.15,15127,71.18,12,82,13,942,42
6,India,MS Dhoni,2004-2019,347,294,83,10599,183*,50.23,12164,87.13,9,73,10,809,222
7,India,M Azharuddin,1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9,622+,77+
8,India,Yuvraj Singh,2000-2017,301,275,39,8609,150,36.47,9846,87.43,14,52,18,896,153
9,India,V Sehwag,1999-2013,241,235,9,7995,219,35.37,7655,104.44,15,37,14,1092,131
10,India,S Dhawan,2010-2022,167,164,10,6793,143,44.11,7436,91.35,17,39,5,842,79
11,India,SK Raina,2005-2018,226,194,35,5615,116*,35.31,6005,93.50,5,36,14,476,120
12,India,A Jadeja,1992-2000,196,179,36,5359,119,37.47,7678,69.79,6,30,10,366,85
13,India,G Gambhir,2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11,561,17
14,India,NS Sidhu,1987-1998,136,127,8,4413,134*,37.08,6329,69.72,6,33,7,335,44
15,India,K Srikkanth,1981-1992,146,145,4,4091,123,29.01,5702,71.74,4,27,11,405+,41+
16,India,N Kapil Dev,1978-1994,225,198,39,3783,175*,23.79,3979,95.07,1,14,13,291+,67+
17,India,DB Vengsarkar,1976-1991,129,120,19,3508,105,34.73,5179,67.73,1,23,7,228+,24+
18,India,RJ Shastri,1981-1992,150,128,21,3108,109,29.04,5089,61.07,4,18,5,206+,25+
19,India,SM Gavaskar,1974-1987,108,102,14,3092,103*,35.13,4966,62.26,1,27,8,234+,21+
20,India,KL Rahul,2016-2025,85,79,17,3043,112,49.08,3451,88.17,7,18,3,235,67
21,India,AM Rahane,2011-2018,90,87,3,2962,111,35.26,3767,78.63,3,24,6,293,33
22,India,SS Iyer,2017-2025,70,65,6,2845,128*,48.22,2845,100.00,5,22,1,262,72
23,India,RA Jadeja,2009-2025,204,137,51,2806,87,32.62,3284,85.44,-,13,6,205,54
24,India,Shubman Gill,2019-2025,55,55,8,2775,208,59.04,2787,99.56,8,15,1,313,59
25,India,M Kaif,2002-2006,125,110,24,2753,111*,32.01,3822,72.03,2,17,8,228,9
26,India,VG Kambli,1991-2000,104,97,21,2477,106,32.59,3443,71.94,2,14,4,187,20
27,India,VVS Laxman,1998-2006,86,83,7,2338,131,30.76,3282,71.23,6,10,3,222,4
28,India,RR Singh,1989-2001,136,113,23,2336,100,25.95,3144,74.30,1,9,5,135+,41+
