,Player,Matches,Innings,Not_Out,Runs,Ball_Faced,Hundreds,Fiftys,Zeros,Fours,Sixes,Average,Strike_Rate,Country,Highest_score
0,A Athanaze,32,44,1,1070,1644,0,7,2,120,15,25.336666666666662,89.05333333333333,West,92
1,A Bacher,12,22,1,679,490,0,6,1,40,0,32.33,44.28,South,73
2,A Chopra,10,19,0,437,1263,0,2,1,49,0,23.0,34.6,India,60
3,A Dananjaya,81,58,16,523,777,0,1,8,50,3,12.47,71.67333333333333,Sri,50
4,A Flintoff,223,254,26,7164,9888,8,44,27,817,172,25.506666666666664,92.55333333333333,England,167
5,A Jadeja,211,203,38,5935,9141,6,34,11,428,88,31.825,54.58,India,119
6,A Khan,1,1,0,2,4,0,0,0,0,0,2.0,50.0,England,2
7,A Kumble,401,307,79,3409,7936,1,5,35,354,15,14.07,49.894999999999996,India,110
8,A McGrath,14,12,2,166,353,0,1,1,11,0,16.6,47.02,England,52
9,A Melville,11,19,2,894,0,4,3,2,58,1,52.58,0.0,South,189
10,A Mishra,22,32,2,648,1103,0,4,4,79,3,21.6,58.74,India,84
11,A Mithun,5,3,0,51,55,0,0,0,2,4,17.0,92.72,India,24
12,A Mukund,7,14,0,320,700,0,2,3,32,1,22.85,45.71,India,81
13,A Nehra,144,50,21,168,283,0,0,12,13,5,5.715,64.58,India,24
14,A Nel,115,64,20,464,897,0,0,13,54,8,11.305,61.3,South,34
15,A Nortje,83,52,16,244,712,0,0,11,31,0,5.760000000000001,48.870000000000005,South,40
16,A Ranatunga,362,410,59,12561,18243,8,87,30,1057,104,35.765,63.93000000000001,Sri,135
17,A Ratra,12,8,1,90,127,0,0,0,8,0,12.85,70.86,India,30
18,A Sandham,14,23,0,879,733,2,3,3,37,0,38.21,52.38,England,325
19,A Shrewsbury,23,40,4,1277,227,3,4,1,81,0,35.47,40.52,England,164
20,A Simelane,8,6,1,32,39,0,0,0,2,1,6.4,82.05,South,11
21,A Symonds,238,213,42,6887,7959,8,42,21,636,141,42.833333333333336,108.86,Australia,162
22,A Turner,20,33,1,1015,1825,2,3,2,104,3,35.345,65.29,Australia,136
23,A Zampa,212,78,29,431,623,0,0,9,38,2,7.675000000000001,77.44,Australia,36
24,AA Baig,10,18,0,428,0,1,2,1,12,0,23.77,0.0,India,112
25,AA Donald,236,134,51,747,2135,0,0,29,68,0,7.494999999999999,34.584999999999994,South,37
26,AA Jangoo,5,5,1,153,166,1,0,1,6,5,38.25,92.16,West,104
27,AAP Atkinson,4,2,1,10,23,0,0,0,0,0,10.0,43.47,England,8
28,AB Agarkar,221,154,31,1855,2666,1,3,19,188,25,12.956666666666665,89.93333333333334,India,109
29,AB Barath,31,44,1,1074,2039,2,5,4,139,8,21.753333333333334,56.89000000000001,West,113
30,AB Dinda,9,2,1,22,24,0,0,0,1,0,22.0,91.66,India,19
31,AB Williams,7,12,0,469,1,2,1,1,43,0,39.08,0.0,West,111
32,AB de Villiers,415,479,68,19864,26622,47,108,20,1987,324,43.65,96.98,South,278
33,AC Agar,71,47,10,601,666,0,0,7,47,13,18.19,91.66499999999999,Australia,48
34,AC Bannerman,28,50,2,1108,265,0,8,3,77,1,23.08,26.41,Australia,94
35,AC Bedade,13,10,3,158,183,0,1,0,11,5,22.57,86.33,India,51
36,AC Cummins,63,41,11,459,551,0,0,3,31,5,15.3,83.3,West,44
37,AC Dale,30,12,8,78,136,0,0,1,3,0,19.5,57.35,Australia,15
38,AC Dawson,19,7,4,69,67,0,0,0,9,1,23.0,102.98,South,23
39,AC Gilchrist,395,428,32,15437,16890,33,81,33,1863,261,35.39666666666667,106.83333333333333,Australia,204
40,AC Hudson,124,151,4,4566,9089,6,31,13,532,20,31.43,51.875,South,163
41,AC MacLaren,35,61,4,1931,0,5,8,4,106,0,33.87,0.0,England,140
42,AC Parore,257,289,51,6179,12266,3,28,25,485,48,25.98,53.405,New,110
43,AC Voges,58,64,18,2494,3779,6,9,2,255,17,51.32666666666666,88.25666666666666,Australia,269
44,ACB Langton,15,23,4,298,0,0,2,5,0,4,15.68,0.0,South,73
45,ACL Richards,1,1,0,10,15,0,0,0,1,0,10.0,66.66,West,10
46,AD Brown,16,16,0,354,427,1,1,2,40,3,22.12,82.9,England,118
47,AD Gaekwad,55,84,5,2254,1802,2,11,6,119,0,25.380000000000003,45.405,India,201
48,AD Hales,145,142,11,4493,4026,7,26,10,501,120,34.37,117.035,England,171
49,AD Mascarenhas,34,26,7,368,357,0,1,5,20,18,18.82,109.16499999999999,England,52
50,AD Mathews,435,480,97,15546,25281,19,91,24,1395,230,37.46666666666667,83.93666666666667,Sri,200
51,AD Nourse,34,62,7,2960,108,9,14,3,115,6,53.81,63.88,South,231
52,AD Russell,142,122,33,2156,1479,0,7,15,159,152,24.605,147.005,West,92
53,ADG Roberts,7,12,1,254,5,0,1,2,3,1,23.09,0.0,New,84
54,ADS Fletcher,85,82,7,1338,1441,0,8,12,109,60,16.92,87.39500000000001,West,84
55,AE Dick,17,30,4,370,0,0,1,4,23,0,14.23,0.0,New,50
56,AE Stoddart,16,30,2,996,64,2,3,3,31,5,35.57,51.56,England,173
57,AEE Vogler,15,26,6,340,8,0,2,4,15,6,17.0,25.0,South,65
58,AF Giles,116,116,26,1806,3615,0,4,11,199,9,19.195,58.120000000000005,England,59
59,AF Kippax,22,34,1,1192,1800,2,8,1,97,1,36.12,39.05,Australia,146
60,AF Milne,106,43,19,263,291,0,0,6,12,10,10.575,92.155,New,36
61,AF Rae,15,24,2,1016,0,4,4,1,30,4,46.18,0.0,West,109
62,AFA Lilley,35,52,8,903,0,0,4,10,31,0,20.52,0.0,England,84
63,AFG Griffith,23,35,2,737,2237,1,4,4,70,2,19.335,43.45,West,114
64,AG Kripal Singh,14,20,5,422,0,1,2,4,2,0,28.13,0.0,India,100
65,AG Prince,116,143,27,4610,9773,11,13,9,469,17,27.150000000000002,65.01333333333334,South,162
66,AGD Wickremasinghe,3,3,1,17,29,0,0,0,2,0,8.5,58.62,Sri,13
67,AH Jones,126,161,17,5706,12254,7,36,6,444,16,39.980000000000004,48.555,New,186
68,AH Kardar,23,37,3,847,0,0,5,1,7,2,24.91,0.0,Pakistan,93
69,AI Kallicharran,97,137,14,5225,5546,12,27,10,489,15,39.42,53.92,West,187
70,AIC Dodemaide,24,16,7,124,159,0,0,1,4,0,13.77,77.98,Australia,30
71,AJ Bichel,67,36,13,471,600,0,1,5,33,10,20.47,78.5,Australia,64
72,AJ Finch,249,245,15,8526,8351,19,49,24,841,254,36.585,115.13,Australia,172
73,AJ Hall,111,90,17,1676,2866,1,6,12,187,14,19.41333333333333,77.03333333333335,South,163
74,AJ Hollioake,35,30,6,606,807,0,3,1,46,4,25.25,75.09,England,83
75,AJ Hosein,116,60,24,538,611,0,1,6,31,23,15.0,91.595,West,60
76,AJ Lamb,201,257,26,8666,14366,18,44,17,946,50,37.7,63.47,England,142
77,AJ Pithey,17,27,1,819,942,1,4,2,67,2,31.5,24.52,South,154
78,AJ Redmond,21,28,1,603,1176,0,4,1,84,4,22.66333333333333,82.56333333333333,New,83
79,AJ Stewart,303,397,35,13140,24230,19,73,27,1590,36,35.57,58.51,England,190
80,AJ Strauss,231,308,14,11315,19644,27,54,25,1330,35,31.596666666666664,81.30333333333333,England,177
81,AJ Turner,28,21,6,302,291,0,1,1,14,12,22.11,101.97999999999999,Australia,84
82,AJ Tye,39,22,10,140,124,0,0,3,10,6,12.309999999999999,113.97999999999999,Australia,20
83,AJ Watkins,15,24,4,810,63,2,4,2,2,0,40.5,20.63,England,137
84,AJ Woodcock,1,1,0,53,67,0,1,0,5,1,53.0,79.1,Australia,53
85,AK Davidson,44,61,7,1328,1064,0,5,1,78,8,24.59,35.99,Australia,80
86,AK Kitchen,5,4,1,38,32,0,0,0,3,1,12.66,118.75,New,16
87,AK Markram,181,211,19,6743,8408,11,34,13,788,125,34.50333333333333,100.41000000000001,South,175
88,AK Perera,12,9,0,111,148,0,0,0,8,1,12.4,76.705,Sri,31
89,AK Sharma,31,27,6,424,469,0,3,2,26,9,20.19,90.4,India,59
90,AL Hassett,43,69,3,3073,2297,10,11,1,235,8,46.56,44.44,Australia,198
91,AL Logie,210,211,45,5279,7782,3,30,21,514,18,32.37,65.87,West,130
