,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,Start_Year,End/Current_Year,Format,Careerspan
0,India,SR Tendulkar,463,452,41,18426,200,44.83,21368,86.23,49,96,20,2016,195,1989,2012,ODI,23
1396,India,SR Tendulkar,200,329,33,15921,248,53.78,29437,54.04,51,68,14,2058,69,1989,2013,Test,24
1,India,V Kohli,302,290,45,14181,183,57.88,15192,93.34,51,74,16,1325,152,2008,2025,ODI,17
1038,Sri_Lanka_Lanka,KC Sangakkara,397,373,40,13975,169,41.96,17715,78.88,25,90,15,1349,86,2000,2015,ODI,15
150,Australia,RT Ponting,374,364,39,13589,164,41.81,16944,80.19,29,82,20,1223,159,1995,2012,ODI,17
1803,England,JE Root,157,286,24,13409,262,51.17,23359,57.4,38,66,13,1433,45,2012,2025,Test,13
1546,Australia,RT Ponting,168,287,29,13378,257,51.85,22782,58.72,41,62,17,1509,73,1995,2012,Test,17
1039,Sri_Lanka_Lanka,ST Jayasuriya,441,429,18,13364,189,32.51,14644,91.25,28,68,34,1493,268,1989,2011,ODI,22
1397,India,R Dravid,163,284,32,13265,270,52.63,31184,42.53,36,63,7,1651,21,1996,2012,Test,16
2253,South_Africa_Africa,JH Kallis,165,278,39,13206,224,55.25,28724,45.97,45,58,16,1477,96,1995,2013,Test,18
1804,England,AN Cook,161,291,16,12472,294,45.35,26562,46.95,33,57,9,1442,11,2006,2018,Test,12
2403,Sri_Lanka_Lanka,KC Sangakkara,134,233,17,12400,319,57.4,22882,54.19,38,52,11,1491,51,2000,2015,Test,15
1040,Sri_Lanka_Lanka,DPMD Jayawardene,443,413,38,12381,144,33.01,15736,78.67,18,75,28,1098,71,1998,2015,ODI,17
2553,West_Indies_Indies,BC Lara,130,230,6,11912,400,53.17,19694,60.48,34,48,17,1551,88,1990,2006,Test,16
2554,West_Indies_Indies,S Chanderpaul,164,280,49,11867,203,51.37,27395,43.31,30,66,15,1285,36,1994,2015,Test,21
2404,Sri_Lanka_Lanka,DPMD Jayawardene,149,252,15,11814,374,49.84,22959,51.45,34,50,15,1387,61,1997,2014,Test,17
742,Pakistan,Inzamam-ul-Haq,375,348,52,11701,137,39.53,15769,74.2,10,83,20,970,143,1991,2007,ODI,16
892,South_Africa_Africa,JH Kallis,323,309,53,11550,139,45.11,15793,73.13,17,86,17,910,137,1996,2014,ODI,18
2,India,SC Ganguly,308,297,23,11221,183,40.95,15235,73.65,22,71,16,1104,189,1992,2007,ODI,15
1547,Australia,AR Border,156,265,44,11174,205,50.56,27002,41.09,27,63,11,1161,28,1978,1994,Test,16
3,India,RG Sharma,273,265,36,11168,264,48.76,12034,92.8,32,58,16,1045,344,2007,2025,ODI,18
1548,Australia,SR Waugh,168,260,46,10927,200,51.06,22461,48.64,32,50,22,1175,20,1985,2004,Test,19
