,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,Start_Year,End/Current_Year,Format
1,India,RG Sharma,159,151,19,4231,121,32.05,3003,140.89,5,32,12,383,205,2007,2024,T20
2,India,V Kohli,125,117,31,4188,122,48.69,3056,137.04,1,38,7,369,124,2010,2024,T20
3,India,SA Yadav,83,79,11,2598,117,38.2,1555,167.07,4,21,5,237,146,2021,2025,T20
4,India,KL Rahul,72,68,8,2265,110,37.75,1628,139.12,2,22,5,191,99,2016,2022,T20
5,India,HH Pandya,114,90,25,1812,71,27.87,1279,141.67,0,5,3,135,95,2016,2025,T20
6,India,S Dhawan,68,66,3,1759,92,27.92,1392,126.36,0,11,2,191,50,2011,2021,T20
7,India,MS Dhoni,98,85,42,1617,56,37.6,1282,126.13,0,2,1,116,52,2006,2019,T20
8,India,SK Raina,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58,2006,2018,T20
9,India,RR Pant,76,66,14,1209,65,23.25,950,127.26,0,3,4,111,44,2017,2024,T20
10,India,Yuvraj Singh,58,51,9,1177,77,28.02,863,136.38,0,8,1,77,74,2007,2017,T20
11,India,SS Iyer,51,47,11,1104,74,30.66,811,136.12,0,8,4,90,44,2017,2023,T20
12,India,G Gambhir,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10,2007,2012,T20
13,India,SV Samson,42,38,4,861,111,25.32,565,152.38,3,2,6,71,49,2015,2025,T20
14,India,Ishan Kishan,32,32,1,796,89,25.67,640,124.37,0,6,1,79,36,2021,2023,T20
15,India,NT Tilak Varma,25,24,9,749,120,49.93,483,155.07,2,3,3,61,43,2023,2025,T20
16,India,YBK Jaiswal,23,22,2,723,100,36.15,440,164.31,1,5,2,82,38,2023,2024,T20
17,India,MK Pandey,39,33,17,709,79,44.31,562,126.15,0,3,2,49,19,2015,2020,T20
18,India,KD Karthik,59,47,22,686,55,27.44,476,144.11,0,1,2,71,28,2006,2022,T20
19,India,RD Gaikwad,23,20,4,633,123,39.56,441,143.53,1,4,1,65,24,2021,2024,T20
20,India,Shubman Gill,21,21,2,578,126,30.42,415,139.27,1,3,1,60,22,2023,2024,T20
21,India,RK Singh,33,24,11,546,69,42.0,339,161.06,0,3,1,45,31,2023,2025,T20
22,India,Abhishek Sharma,17,16,0,535,135,33.43,276,193.84,2,2,1,46,41,2024,2025,T20
23,India,AR Patel,71,44,15,535,65,18.44,384,139.32,0,1,2,41,23,2015,2025,T20
24,India,S Dube,35,26,9,531,63,31.23,379,140.1,0,4,1,37,28,2019,2025,T20
25,India,RA Jadeja,74,41,17,515,46,21.45,405,127.16,0,0,3,39,14,2009,2024,T20
26,India,V Sehwag,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16,2006,2012,T20
27,India,AM Rahane,20,20,2,375,61,20.83,331,113.29,0,1,2,32,6,2011,2016,T20
28,India,DJ Hooda,21,17,5,368,104,30.66,250,147.2,1,0,2,29,18,2022,2023,T20
29,India,RV Uthappa,13,12,2,249,50,24.9,211,118.0,0,1,1,26,6,2007,2015,T20
30,India,YK Pathan,22,18,5,236,37,18.15,161,146.58,0,0,3,11,17,2007,2012,T20
31,India,Washington Sundar,54,22,8,193,50,13.78,159,121.38,0,1,4,16,9,2017,2025,T20
32,India,R Ashwin,65,19,12,184,31,26.28,160,115.0,0,0,0,17,4,2010,2022,T20
33,India,IK Pathan,24,14,7,172,33,24.57,144,119.44,0,0,0,9,7,2006,2012,T20
34,India,M Vijay,9,9,0,169,48,18.77,154,109.74,0,0,1,13,8,2010,2015,T20
35,India,VR Iyer,9,7,3,133,35,33.25,82,162.19,0,0,0,15,5,2021,2022,T20
36,India,KH Pandya,19,10,5,124,26,24.8,95,130.52,0,0,0,8,6,2018,2021,T20
37,India,KM Jadhav,9,6,0,122,58,20.33,99,123.23,0,1,0,12,3,2015,2017,T20
38,India,Harbhajan Singh,28,13,5,108,21,13.5,87,124.13,0,0,1,11,4,2006,2016,T20
39,India,R Parag,9,6,0,106,34,17.66,70,151.42,0,0,0,3,9,2024,2024,T20
40,India,V Shankar,9,4,0,101,43,25.25,73,138.35,0,0,0,11,5,2018,2019,T20
41,India,JM Sharma,9,7,0,100,35,14.28,68,147.05,0,0,1,11,4,2023,2024,T20
42,India,RA Tripathi,5,5,0,97,44,19.4,67,144.77,0,0,1,11,5,2023,2023,T20
43,India,K Nitish Kumar Reddy,4,3,1,90,74,45.0,50,180.0,0,1,1,4,8,2024,2025,T20
44,India,Mandeep Singh,3,3,1,87,52,43.5,73,119.17,0,1,0,11,1,2016,2016,T20
45,India,HV Patel,25,10,4,77,18,12.83,57,135.08,0,0,1,9,3,2021,2023,T20
46,India,Arshdeep Singh,63,21,13,71,12,8.87,61,116.39,0,0,3,6,3,2022,2025,T20
47,India,SN Thakur,25,6,3,69,22,23.0,38,181.57,0,0,2,5,4,2018,2022,T20
48,India,B Kumar,87,21,13,67,16,8.37,94,71.27,0,0,2,0,0,2012,2022,T20
49,India,Ravi Bishnoi,42,13,6,55,9,7.85,42,130.95,0,0,2,8,1,2022,2025,T20
50,India,DL Chahar,25,7,5,53,31,26.5,28,189.28,0,0,1,4,4,2018,2023,T20
51,India,Kuldeep Yadav,40,7,3,46,23,11.5,59,77.96,0,0,2,2,0,2017,2024,T20
52,India,S Badrinath,1,1,0,43,43,43.0,37,116.21,0,0,0,5,0,2011,2011,T20
53,India,AT Rayudu,6,5,1,42,20,10.5,50,84.0,0,0,2,5,0,2014,2016,T20
54,India,D Padikkal,2,2,0,38,29,19.0,38,100.0,0,0,0,2,1,2021,2021,T20
55,India,D Mongia,1,1,0,38,38,38.0,45,84.44,0,0,0,4,1,2006,2006,T20
56,India,PA Patel,2,2,0,36,26,18.0,32,112.5,0,0,0,4,1,2011,2011,T20
57,India,STR Binny,3,2,0,35,24,17.5,29,120.68,0,0,0,2,1,2015,2016,T20
