,Country,Player,Span,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes
0,India,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
1,India,RG Sharma,2007-2024,159,151,19,4231,121*,32.05,3003,140.89,5,32,12,383,205
2,India,V Kohli,2010-2024,125,117,31,4188,122*,48.69,3056,137.04,1,38,7,369,124
3,India,SA Yadav,2021-2025,83,79,11,2598,117,38.20,1555,167.07,4,21,5,237,146
4,India,KL Rahul,2016-2022,72,68,8,2265,110*,37.75,1628,139.12,2,22,5,191,99
5,India,HH Pandya,2016-2025,114,90,25,1812,71*,27.87,1279,141.67,-,5,3,135,95
6,India,S Dhawan,2011-2021,68,66,3,1759,92,27.92,1392,126.36,-,11,2,191,50
7,India,MS Dhoni,2006-2019,98,85,42,1617,56,37.60,1282,126.13,-,2,1,116,52
8,India,SK Raina,2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58
9,India,RR Pant,2017-2024,76,66,14,1209,65*,23.25,950,127.26,-,3,4,111,44
10,India,Yuvraj Singh,2007-2017,58,51,9,1177,77*,28.02,863,136.38,-,8,1,77,74
11,India,SS Iyer,2017-2023,51,47,11,1104,74*,30.66,811,136.12,-,8,4,90,44
12,India,G Gambhir,2007-2012,37,36,2,932,75,27.41,783,119.02,-,7,2,109,10
13,India,SV Samson,2015-2025,42,38,4,861,111,25.32,565,152.38,3,2,6,71,49
14,India,Ishan Kishan,2021-2023,32,32,1,796,89,25.67,640,124.37,-,6,1,79,36
15,India,NT Tilak Varma,2023-2025,25,24,9,749,120*,49.93,483,155.07,2,3,3,61,43
16,India,YBK Jaiswal,2023-2024,23,22,2,723,100,36.15,440,164.31,1,5,2,82,38
17,India,MK Pandey,2015-2020,39,33,17,709,79*,44.31,562,126.15,-,3,2,49,19
18,India,KD Karthik,2006-2022,59,47,22,686,55,27.44,476,144.11,-,1,2,71,28
19,India,RD Gaikwad,2021-2024,23,20,4,633,123*,39.56,441,143.53,1,4,1,65,24
20,India,Shubman Gill,2023-2024,21,21,2,578,126*,30.42,415,139.27,1,3,1,60,22
